Over 18,White,Median Income,Graduation %,Unemployment...21,Bachelor,16 Rep Vote,16 Dem Vote,18 Inc,16 Funds Got,16 Funds Spent,won,total_votes
0.7326455361,0.9032121525,0.48356,0.906,0.07221021925,0.284,0.6815079407,0.3184920593,1,1,1,0,124151
0.7697719448,0.697190227,0.53183,0.895,0.08337636911,0.238,0,1,-1,-1,-1,1,185180
0.752744395,0.8641026492,0.48073,0.856,0.08337636911,0.226,0.6161248482,0.3838751518,1,0.1861144614,0.2194254501,0,114967
0.7446054175,0.8750902789,0.50277,0.879,0.08337636911,0.224,0.7531102876,0.2468897124,1,1,1,0,104762
0.7704512958,0.8874389673,0.53333,0.906,0.08337636911,0.263,0.6794300729,0.3205699271,0,1,1,0,112984
0.7582018348,0.8369589003,0.64754,0.947,0.08337636911,0.48,0.6418541032,0.3581458968,1,0.7881359329,0.623262442,0,191226
0.7793964288,0.9314445523,0.48554,0.892,0.08337636911,0.227,0.7214095862,0.2785904138,0,1,1,0,91103
0.74359914009999994,0.6116805027,0.39917,0.821,0.08337636911,0.245,0.37305634,0.62694366,-1,-1,-1,1,176422
0.7747511625,0.9160648342,0.47444,0.883,0.08337636911,0.223,0.6678408015,0.3321591985,1,0.9999999951,0.9999999994,0,95691
0.7826849452,0.912906033,0.51881,0.889,0.08337636911,0.267,0.5723009122,0.4276990878,1,0.1465669046,0.1499728106,0,122564
0.7698861691,0.9103344388,0.55366,0.929,0.05036639232,0.276,0.5383808736,0.4616191264,1,-0.05090256529,-0.05078137711,0,201347
0.7734457647,0.8953832085,0.52126,0.923,0.05036639232,0.298,0.4626012168,0.5373987832,-1,-0.5666797863,-0.2224473661,0,196958
0.7520600103,0.877061507,0.60261,0.916,0.05036639232,0.329,0.5719514094,0.4280485906,1,0.02862839041,0.02549667553,1,219205
0.7773371127,0.9194390188,0.51111,0.916,0.05036639232,0.251,0.6132313801,0.3867686199,1,0.4556495673,0.4947930867,0,144761
0.7700428805,0.8887523615,0.39757,0.847,0.08157183914,0.163,0.7264195481,0.2735804519,1,0.999998644,0.9999639913,0,82141
0.7671875596,0.8915629548,0.47051,0.871,0.08157183914,0.198,1,0,1,1,1,0,94643
0.7779291389,0.7102198219,0.4907,0.908,0.08157183914,0.325,0.365008042,0.634991958,-1,-0.9999999738,-1,1,230672
0.7595333422,0.9164573583,0.57084,0.896,0.08157183914,0.291,0.7132050965,0.2867949035,1,1,1,0,125896
0.7808403115,0.9652696898,0.31274,0.763,0.08157183914,0.132,1,0,1,1,1,0,47056
0.7783357783,0.851054763,0.4817,0.888,0.08157183914,0.317,0.610890284,0.389109716,1,0.4258017969,0.4318634621,0,155011
0.8135183432,0.9418261062,0.57209,0.934,0.07474403605,0.382,0.4196957525,0.5803042475,-1,-0.4547006039,-0.1863063587,1,271004
0.8057346605,0.9470647904,0.44649,0.912,0.07474403605,0.256,0.5480126947,0.4519873053,1,-0.002657560815,-0.002687714524,1,195849
0.7871994899,0.8206721508,0.6965,0.901,0.06966813873,0.315,0.7006840056,0.2993159944,1,1,1,0,143877
0.7670694173,0.5243930968,0.63876,0.887,0.06966813873,0.326,0.3480017641,0.6519982359,-1,-0.3541401525,-0.3850846847,1,224836
0.7915125504,0.6033743452,0.81032,0.912,0.06966813873,0.483,0.3489602291,0.6510397709,-1,-0.05696984129,-0.0344480541,1,260358
0.7693934351,0.2950536742,0.76776,0.876,0.06966813873,0.33,0.2242864282,0.7757135718,-1,-1,-1,1,282119
0.7720476196,0.4832304716,0.92295,0.913,0.06966813873,0.358,0.303596813,0.696403187,-1,-0.9999982757,-0.999998867,1,274210
0.771154004,0.6461475906,0.74892,0.896,0.06966813873,0.421,0.4173767685,0.5826232315,0,-0.06630075947,-0.06656009545,1,215540
0.7863603831,0.3593707791,0.58128,0.888,0.06966813873,0.38,0.22554265,0.77445735,-1,-1,-1,1,237084
0.7758786171,0.6567461854,0.97663,0.92,0.06966813873,0.551,0.3609849757,0.6390150243,-1,-0.9973404836,-0.9982149165,1,274716
0.8140603227,0.9201157697,0.44864,0.926,0.09117681615,0.263,0.5781076902,0.4218923098,1,-0.0499880027,-0.05130831505,0,153328
0.7662216134,0.8457602409,0.50916,0.905,0.09117681615,0.272,0.6581252961,0.3418747039,1,0.9999994247,0.9999999187,0,154122
0.7597367678,0.8390747886,0.5368,0.919,0.09117681615,0.326,0.6131889319,0.3868110681,1,0.9723556124,0.9937829908,0,189769
0.7932400561,0.9390663363,0.46128,0.913,0.09117681615,0.224,0.6576733401,0.3423266599,1,1,1,0,120802
0.7820321398,0.7707896865,0.421,0.898,0.09117681615,0.198,0.3647004857,0.6352995143,-1,-1,-1,1,196599
0.7738768659,0.8468130773,0.49087,0.908,0.09117681615,0.281,0.6169697898,0.3830302102,1,0.15359825,0.1177247685,0,152085
0.7844992838,0.9116219741,0.54225,0.925,0.09117681615,0.241,0.5790230923,0.4209769077,1,-0.006265959887,0.00300701531,0,159743
0.7820116713,0.8515155507,0.65205,0.945,0.09117681615,0.415,0.588486635,0.411513365,1,0.1288764294,0.1256295084,1,217922
0.8008239815,0.7765359486,0.52684,0.903,0.09117681615,0.304,0.3923852245,0.6076147755,0,-1,-1,1,230318
0.7843801684,0.9241998431,0.58557,0.911,0.09117681615,0.236,0.6614480206,0.3385519794,1,0.999999822,0.9999998134,0,138179
0.7843731496,0.8103656953,0.76851,0.95,0.09117681615,0.484,0.5685061967,0.4314938033,0,0.01765957381,0.02059102372,1,226128
0.7887410671,0.7868259752,0.53815,0.907,0.09117681615,0.347,0.312551629,0.687448371,-1,-0.9922057784,-0.9999321133,1,254957
0.7643249273,0.3849993399,0.32076,0.832,0.09117681615,0.161,0.1694064652,0.8305935348,0,-1,-1,1,223205
0.764757589,0.3398794947,0.42167,0.874,0.09117681615,0.307,0.1922425373,0.8077574627,-1,-1,-1,1,271370
